Matt 1:1 N- ----NSF- Βίβλος Βίβλος βίβλος βίβλος
Matt 1:1 N- ----GSF- γενέσεως γενέσεως γενέσεως γένεσις
Matt 1:1 N- ----GSM- Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
Matt 1:1 N- ----GSM- χριστοῦ χριστοῦ Χριστοῦ Χριστός
Matt 1:1 N- ----GSM- υἱοῦ υἱοῦ υἱοῦ υἱός
Matt 1:1 N- ----GSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
Matt 1:1 N- ----GSM- υἱοῦ υἱοῦ υἱοῦ υἱός
Matt 1:1 N- ----GSM- Ἀβραάμ. Ἀβραάμ Ἀβραάμ Ἀβραάμ
Matt 1:2 N- ----NSM- Ἀβραὰμ Ἀβραὰμ Ἀβραάμ Ἀβραάμ
Matt 1:2 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:2 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:2 N- ----ASM- Ἰσαάκ, Ἰσαάκ Ἰσαάκ Ἰσαάκ
Matt 1:2 N- ----NSM- Ἰσαὰκ Ἰσαὰκ Ἰσαάκ Ἰσαάκ
Matt 1:2 C- -------- δὲ δὲ δέ δέ
Matt 1:2 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:2 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:2 N- ----ASM- Ἰακώβ, Ἰακώβ Ἰακώβ Ἰακώβ
Matt 1:2 N- ----NSM- Ἰακὼβ Ἰακὼβ Ἰακώβ Ἰακώβ
Matt 1:2 C- -------- δὲ δὲ δέ δέ
Matt 1:2 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:2 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:2 N- ----ASM- Ἰούδαν Ἰούδαν Ἰούδαν Ἰούδας
Matt 1:2 C- -------- καὶ καὶ καί καί
Matt 1:2 RA ----APM- τοὺς τοὺς τούς ὁ
Matt 1:2 N- ----APM- ἀδελφοὺς ἀδελφοὺς ἀδελφούς ἀδελφός
Matt 1:2 RP ----GSM- αὐτοῦ, αὐτοῦ αὐτοῦ αὐτός
Matt 1:3 N- ----NSM- Ἰούδας Ἰούδας Ἰούδας Ἰούδας
Matt 1:3 C- -------- δὲ δὲ δέ δέ
Matt 1:3 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:3 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:3 N- ----ASM- Φαρὲς Φαρὲς Φαρές Φαρές
Matt 1:3 C- -------- καὶ καὶ καί καί
Matt 1:3 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:3 N- ----ASM- Ζάρα Ζάρα Ζάρα Ζάρα
Matt 1:3 P- -------- ἐκ ἐκ ἐκ ἐκ
Matt 1:3 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:3 N- ----GSF- Θαμάρ, Θαμάρ Θαμάρ Θαμάρ
Matt 1:3 N- ----NSM- Φαρὲς Φαρὲς Φαρές Φαρές
Matt 1:3 C- -------- δὲ δὲ δέ δέ
Matt 1:3 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:3 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:3 N- ----ASM- Ἑσρώμ, Ἑσρώμ Ἑσρώμ Ἑσρώμ
Matt 1:3 N- ----NSM- Ἑσρὼμ Ἑσρὼμ Ἑσρώμ Ἑσρώμ
Matt 1:3 C- -------- δὲ δὲ δέ δέ
Matt 1:3 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:3 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:3 N- ----ASM- Ἀράμ, Ἀράμ Ἀράμ Ἀράμ
Matt 1:4 N- ----NSM- Ἀρὰμ Ἀρὰμ Ἀράμ Ἀράμ
Matt 1:4 C- -------- δὲ δὲ δέ δέ
Matt 1:4 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:4 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:4 N- ----ASM- Ἀμιναδάβ, Ἀμιναδάβ Ἀμιναδάβ Ἀμιναδάβ
Matt 1:4 N- ----NSM- Ἀμιναδὰβ Ἀμιναδὰβ Ἀμιναδάβ Ἀμιναδάβ
Matt 1:4 C- -------- δὲ δὲ δέ δέ
Matt 1:4 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:4 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:4 N- ----ASM- Ναασσών, Ναασσών Ναασσών Ναασσών
Matt 1:4 N- ----NSM- Ναασσὼν Ναασσὼν Ναασσών Ναασσών
Matt 1:4 C- -------- δὲ δὲ δέ δέ
Matt 1:4 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:4 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:4 N- ----ASM- Σαλμών, Σαλμών Σαλμών Σαλμών
Matt 1:5 N- ----NSM- Σαλμὼν Σαλμὼν Σαλμών Σαλμών
Matt 1:5 C- -------- δὲ δὲ δέ δέ
Matt 1:5 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:5 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:5 N- ----ASM- ⸂Βόες Βόες Βόες Βόες
Matt 1:5 P- -------- ἐκ ἐκ ἐκ ἐκ
Matt 1:5 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:5 N- ----GSF- Ῥαχάβ, Ῥαχάβ Ῥαχάβ Ῥαχάβ
Matt 1:5 N- ----NSM- Βόες⸃ Βόες Βόες Βόες
Matt 1:5 C- -------- δὲ δὲ δέ δέ
Matt 1:5 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:5 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:5 N- ----ASM- ⸂Ἰωβὴδ Ἰωβὴδ Ἰωβήδ Ἰωβήδ
Matt 1:5 P- -------- ἐκ ἐκ ἐκ ἐκ
Matt 1:5 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:5 N- ----GSF- Ῥούθ, Ῥούθ Ῥούθ Ῥούθ
Matt 1:5 N- ----NSM- Ἰωβὴδ⸃ Ἰωβὴδ Ἰωβήδ Ἰωβήδ
Matt 1:5 C- -------- δὲ δὲ δέ δέ
Matt 1:5 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:5 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:5 N- ----ASM- Ἰεσσαί, Ἰεσσαί Ἰεσσαί Ἰεσσαί
Matt 1:6 N- ----NSM- Ἰεσσαὶ Ἰεσσαὶ Ἰεσσαί Ἰεσσαί
Matt 1:6 C- -------- δὲ δὲ δέ δέ
Matt 1:6 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:6 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:6 N- ----ASM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
Matt 1:6 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:6 N- ----ASM- βασιλέα. βασιλέα βασιλέα βασιλεύς
Matt 1:6 N- ----NSM- Δαυὶδ Δαυὶδ Δαυίδ Δαυίδ
Matt 1:6 C- -------- ⸀δὲ δὲ δέ δέ
Matt 1:6 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:6 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:6 N- ----ASM- Σολομῶνα Σολομῶνα Σολομῶνα Σολομών
Matt 1:6 P- -------- ἐκ ἐκ ἐκ ἐκ
Matt 1:6 RA ----GSF- τῆς τῆς τῆς ὁ
Matt 1:6 RA ----GSM- τοῦ τοῦ τοῦ ὁ
Matt 1:6 N- ----GSM- Οὐρίου, Οὐρίου Οὐρίου Οὐρίας
Matt 1:7 N- ----NSM- Σολομὼν Σολομὼν Σολομών Σολομών
Matt 1:7 C- -------- δὲ δὲ δέ δέ
Matt 1:7 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:7 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:7 N- ----ASM- Ῥοβοάμ, Ῥοβοάμ Ῥοβοάμ Ῥοβοάμ
Matt 1:7 N- ----NSM- Ῥοβοὰμ Ῥοβοὰμ Ῥοβοάμ Ῥοβοάμ
Matt 1:7 C- -------- δὲ δὲ δέ δέ
Matt 1:7 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:7 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:7 N- ----ASM- Ἀβιά, Ἀβιά Ἀβιά Ἀβιά
Matt 1:7 N- ----NSM- Ἀβιὰ Ἀβιὰ Ἀβιά Ἀβιά
Matt 1:7 C- -------- δὲ δὲ δέ δέ
Matt 1:7 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:7 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:7 N- ----ASM- ⸂Ἀσάφ, Ἀσάφ Ἀσάφ Ἀσάφ
Matt 1:8 N- ----NSM- Ἀσὰφ⸃ Ἀσὰφ Ἀσάφ Ἀσάφ
Matt 1:8 C- -------- δὲ δὲ δέ δέ
Matt 1:8 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:8 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:8 N- ----ASM- Ἰωσαφάτ, Ἰωσαφάτ Ἰωσαφάτ Ἰωσαφάτ
Matt 1:8 N- ----NSM- Ἰωσαφὰτ Ἰωσαφὰτ Ἰωσαφάτ Ἰωσαφάτ
Matt 1:8 C- -------- δὲ δὲ δέ δέ
Matt 1:8 V- 3AAI-S-- ἐγέννησεν ἐγέννησεν ἐγέννησε(ν) γεννάω
Matt 1:8 RA ----ASM- τὸν τὸν τόν ὁ
Matt 1:8 N- ----ASM- Ἰωράμ, Ἰωράμ Ἰωράμ Ἰωράμ
Matt 1:8 N- ----NSM- Ἰωρὰμ Ἰωρὰμ Ἰωράμ Ἰωράμ
